MEAN_X,MEAN_Y,ISO_A2_EH
10.559699225406511,51.815505622021846,DE
120.606015205302882,23.683346719721989,TW
30.944686910571910,48.377457825508493,UA
17.993165247366012,28.509074585232646,LY
23.859961278148305,55.061819726736879,LT
6.059853375934096,49.809647452593957,LU
24.610463533335704,56.909637026185791,LV
-61.373866882813289,15.417755709493395,DM
-9.030058911922310,29.558195015674656,MA
-70.399027672724515,18.813709564751701,DO
7.403097743187740,43.739522929055816,MC
2.814190852086928,30.777575740384261,DZ
28.405362443679724,47.133502540253929,MD
32.012009903003332,1.521094209939524,UG
-104.114453180122027,40.276323055754403,US
21.741001776931213,41.580609688165325,MK
-6.123356172125840,14.323238390258242,ML
-82.441364804649282,-1.303773534369078,EC
19.199821449466551,42.668217921111811,ME
-63.078822862162490,18.076237951122895,MF
